S/No.,MOVIE NAME & YEAR,MOVIE RATINGS,RATING BASED ON USERS
1,Planet Earth II (2016),9.5,"9.5 based on 96,661 user ratings"
2,Planet Earth (2006),9.4,"9.4 based on 167,147 user ratings"
3,Band of Brothers (2001),9.4,"9.4 based on 375,802 user ratings"
4,Breaking Bad (2008),9.4,"9.4 based on 1,460,799 user ratings"
5,Chernobyl (2019),9.4,"9.4 based on 538,881 user ratings"
6,Blue Planet II (2017),9.3,"9.3 based on 33,283 user ratings"
7,The Wire (2002),9.3,"9.3 based on 284,866 user ratings"
8,Our Planet (2019),9.3,"9.3 based on 32,713 user ratings"
9,Cosmos: A Spacetime Odyssey (2014),9.2,"9.2 based on 110,899 user ratings"
10,Cosmos (1980),9.2,"9.2 based on 36,655 user ratings"
11,Game of Thrones (2011),9.2,"9.2 based on 1,766,190 user ratings"
12,Avatar: The Last Airbender (2005),9.2,"9.2 based on 247,077 user ratings"
13,Rick and Morty (2013),9.2,"9.2 based on 374,536 user ratings"
14,The Sopranos (1999),9.2,"9.2 based on 301,139 user ratings"
15,The World at War (1973),9.1,"9.1 based on 22,182 user ratings"
16,The Last Dance (2020),9.1,"9.1 based on 79,828 user ratings"
17,Life (2009),9.1,"9.1 based on 37,980 user ratings"
18,Scam 1992: The Harshad Mehta Story (2020),9.1,"9.1 based on 85,495 user ratings"
19,Hagane no renkinjutsushi (2009),9.1,"9.1 based on 120,143 user ratings"
20,The Vietnam War (2017),9.1,"9.1 based on 20,398 user ratings"
21,Sherlock (2010),9.0,"9.0 based on 805,750 user ratings"
22,The Twilight Zone (1959),9.0,"9.0 based on 71,310 user ratings"
23,Human Planet (2011),9.0,"9.0 based on 23,755 user ratings"
24,The Blue Planet (2001),9.0,"9.0 based on 34,895 user ratings"
25,Sahsiyet (2018),9.0,"9.0 based on 30,873 user ratings"
26,Batman: The Animated Series (1992),9.0,"9.0 based on 87,306 user ratings"
27,The Beatles Anthology (1995),9.0,"9.0 based on 7,606 user ratings"
28,Frozen Planet (2011),9.0,"9.0 based on 26,881 user ratings"
29,Firefly (2002),8.9,"8.9 based on 243,642 user ratings"
30,Dekalog (1989),8.9,"8.9 based on 21,991 user ratings"
